WigleWifi-1.4,appRelease=2.67,model=SM-J100VPP,release=5.1.1,device=j1qltevzw,display=LMY48B.J100VPPVRU4AQF1,board=msm8916,brand=Verizon
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
da:a8:5c:bd:5f:bd,[Data Redacted],[WPA2-PSK-CCMP][ESS],2024-10-28 16:32:26,149,-27,31.8361653845319,-102.343383778659,851,37,WIFI
62:e6:f0:16:21:0f,myGMC 210F,[WPA2-PSK-CCMP][ESS][INTERNET],2024-10-28 16:32:26,7,-85,31.8361653845319,-102.343383778659,851,37,WIFI
62:e6:f0:9f:fb:34,hugoeliut9,[WPA2-PSK-CCMP][ESS],2024-10-28 16:32:26,7,-82,31.8361653845319,-102.343383778659,851,37,WIFI
b2:00:73:76:81:76,Taras Bitchin Blazer,[WPA2-PSK-CCMP][WPS][ESS][P2P],2024-10-28 16:32:26,6,-76,31.8361653845319,-102.343383778659,851,37,WIFI
5a:e4:03:0e:7a:61,Mychevrolet7a61,[WPA2-PSK-CCMP][ESS],2024-10-28 16:32:26,7,-77,31.8361653845319,-102.343383778659,851,37,WIFI
62:e6:f0:ff:fb:34,hugoeliut9,[WPA2-PSK-CCMP][ESS],2024-10-28 16:32:26,44,-90,31.8361653845319,-102.343383778659,851,37,WIFI
00:21:a4:31:b7:f4,OdessaSignalShopRed,[ESS],2024-10-28 16:32:26,60,-83,31.8361653845319,-102.343383778659,851,37,WIFI
d6:c7:15:80:57:38,,Misc,2024-10-28 16:32:26,0,-100,31.8361653845319,-102.343383778659,851,37,BLE
46:fe:5f:bd:69:0f,,Misc,2024-10-28 16:32:26,0,-90,31.8361653845319,-102.343383778659,851,37,BLE
6b:4a:a0:de:08:d5,,Misc,2024-10-28 16:32:26,0,-97,31.8361653845319,-102.343383778659,851,37,BLE
54:e9:4b:9e:2e:14,,Misc,2024-10-28 16:32:26,0,-92,31.8361653845319,-102.343383778659,851,37,BLE
fa:23:f3:bf:b6:c3,,Misc,2024-10-28 16:32:26,0,-59,31.8361653845319,-102.343383778659,851,37,BLE
6b:4d:fb:b0:c4:2d,,Misc,2024-10-28 16:32:26,0,-93,31.8361653845319,-102.343383778659,851,37,BLE
62:4e:d9:96:95:56,,Misc,2024-10-28 16:32:26,0,-99,31.8361653845319,-102.343383778659,851,37,BLE
5d:58:7f:e1:1b:84,,Misc,2024-10-28 16:32:26,0,-91,31.8361653845319,-102.343383778659,851,37,BLE
42:e6:16:b4:93:8d,,Misc,2024-10-28 16:32:26,0,-96,31.8361653845319,-102.343383778659,851,37,BLE
dc:10:68:cd:eb:0b,,Misc,2024-10-28 16:32:26,0,-97,31.8361653845319,-102.343383778659,851,37,BLE
6a:80:eb:27:4b:8d,,Misc,2024-10-28 16:32:26,0,-46,31.8361653845319,-102.343383778659,851,37,BLE
45:1b:e9:8e:54:86,,Misc,2024-10-28 16:32:26,0,-93,31.8361653845319,-102.343383778659,851,37,BLE
56:28:db:d0:1f:ab,,Misc,2024-10-28 16:32:26,0,-88,31.8361653845319,-102.343383778659,851,37,BLE
74:78:b0:59:71:56,,Misc,2024-10-28 16:32:26,0,-90,31.8361653845319,-102.343383778659,851,37,BLE
48:dd:a4:1b:bb:cf,,Misc,2024-10-28 16:32:26,0,-52,31.8361653845319,-102.343383778659,851,37,BLE
54:26:f9:42:79:b5,,Misc,2024-10-28 16:32:26,0,-87,31.8361653845319,-102.343383778659,851,37,BLE
4d:da:79:22:c3:54,,Misc,2024-10-28 16:32:26,0,-99,31.8361653845319,-102.343383778659,851,37,BLE
61:e5:eb:fa:db:dd,,Misc,2024-10-28 16:32:26,0,-90,31.8361653845319,-102.343383778659,851,37,BLE
cf:ae:f5:8d:e6:c7,,Misc,2024-10-28 16:32:26,0,-95,31.8361653845319,-102.343383778659,851,37,BLE
5f:37:e5:49:14:d2,,Misc,2024-10-28 16:32:26,0,-96,31.8361653845319,-102.343383778659,851,37,BLE
44:43:b6:d0:58:b5,,Misc,2024-10-28 16:32:26,0,-86,31.8361653845319,-102.343383778659,851,37,BLE
4d:1d:e8:08:71:f0,,Misc,2024-10-28 16:32:26,0,-90,31.8361653845319,-102.343383778659,851,37,BLE
6f:03:e6:14:9e:6e,,Misc,2024-10-28 16:32:26,0,-97,31.8361653845319,-102.343383778659,851,37,BLE
68:21:72:ca:27:eb,,Misc,2024-10-28 16:32:26,0,-101,31.8361653845319,-102.343383778659,851,37,BLE
74:b2:54:32:51:f0,,Misc,2024-10-28 16:32:26,0,-98,31.8361653845319,-102.343383778659,851,37,BLE
61:cb:bc:a7:8d:69,,Misc,2024-10-28 16:32:26,0,-95,31.8361653845319,-102.343383778659,851,37,BLE
66:06:16:a7:e0:b9,,Misc,2024-10-28 16:32:26,0,-100,31.8361653845319,-102.343383778659,851,37,BLE
e0:b8:c1:02:1f:59,,Misc,2024-10-28 16:32:26,0,-95,31.8361653845319,-102.343383778659,851,37,BLE
00:25:ca:34:08:a0,,Misc,2024-10-28 16:32:26,0,-80,31.8361653845319,-102.343383778659,851,37,BLE
c5:f6:94:f1:4e:f6,iRadar,Misc,2024-10-28 16:32:26,0,-87,31.8361653845319,-102.343383778659,851,37,BLE
dd:cd:08:13:a6:72,,Misc,2024-10-28 16:32:26,0,-86,31.8361653845319,-102.343383778659,851,37,BLE
